col_0,REGION,DATE,DATE_parsed,YEAR,MONTH,DAY,PROFIL_TOTAL,PROFIL_ENT,PROFIL_PRO,PROFIL_RES,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,SUNHOUR,TEMPERATURE_NIGHT_C,TEMPERATURE_MEAN,HOLIDAYS,IS_WEEKEND,IS_LOCKDOWN_1,IS_LOCKDOWN_2,IS_LOCKDOWN_3,IS_LOCKDOWN_TT,IS_PUBLIC_HOLIDAYS
89,Hauts-de-France,2020-02-14T00:00:00.000Z,2020-02-14T00:00:00.000Z,2020,2,14,61138386,1647628,12228270,47262488,10,4,19,4,8,8,0,93,9,1022,49,10,6,1,9,5,6,0,0,0,0,0,0,0
91,Hauts-de-France,2020-02-15T00:00:00.000Z,2020-02-15T00:00:00.000Z,2020,2,15,59992193,1153364,10943110,47895719,11,5,30,7,10,11,0,94,10,1021,83,11,8,4,5,7,9,1,1,0,0,0,0,0
93,Hauts-de-France,2020-02-16T00:00:00.000Z,2020-02-16T00:00:00.000Z,2020,2,16,56186997,1099838,9495101,45592058,15,9,52,12,14,13,11,74,7,1012,95,15,10,9,5,12,13,1,1,0,0,0,0,0
95,Hauts-de-France,2020-02-17T00:00:00.000Z,2020-02-17T00:00:00.000Z,2020,2,17,58567001,1594795,11328289,45643917,10,4,28,6,9,7,3,79,10,1019,67,10,4,3,7,7,8,1,0,0,0,0,0,0
97,Hauts-de-France,2020-02-18T00:00:00.000Z,2020-02-18T00:00:00.000Z,2020,2,18,61688891,1706281,12065700,47916910,8,3,29,4,7,7,2,85,9,1026,81,8,4,0,6,5,6,1,0,0,0,0,0,0
99,Hauts-de-France,2020-02-19T00:00:00.000Z,2020-02-19T00:00:00.000Z,2020,2,19,62628117,1712258,12047125,48868734,8,3,22,4,6,7,8,81,9,1024,83,8,5,-1,7,5,6,1,0,0,0,0,0,0
101,Hauts-de-France,2020-02-20T00:00:00.000Z,2020-02-20T00:00:00.000Z,2020,2,20,61813850,1722180,12016146,48075524,9,5,32,6,8,8,2,86,10,1020,84,10,6,2,5,6,7,1,0,0,0,0,0,0
103,Hauts-de-France,2020-02-21T00:00:00.000Z,2020-02-21T00:00:00.000Z,2020,2,21,63134555,1663367,12105197,49365991,8,2,25,2,7,6,0,84,10,1030,50,8,3,-2,8,2,4,1,0,0,0,0,0,0
105,Hauts-de-France,2020-02-22T00:00:00.000Z,2020-02-22T00:00:00.000Z,2020,2,22,62343908,1159758,11010443,50173707,11,5,31,5,9,10,0,81,10,1026,53,11,8,0,7,5,7,1,1,0,0,0,0,0
107,Hauts-de-France,2020-02-23T00:00:00.000Z,2020-02-23T00:00:00.000Z,2020,2,23,58156419,1117608,9653080,47385731,13,8,41,9,13,12,4,89,7,1027,98,13,10,6,5,8,11,1,1,0,0,0,0,0
